ID,Label,Gear1st,Gear2nd,Gear3rd,Gear4th,Gear5th,Gear6th,Gear7th,Gear8th,Gear9th,Gear10th,Gear11th,GearReverse,finalgearMIN,finalgearMAX,finalgearDF,ExtraFinalGearRatio,Price,category,geartype,Nshift,gearflag,maxspeedMIN,maxspeedMAX,maxspeedDF,ExtraFinalGearUsage,LowGearPos,ReverseGearPos,GearPattern
3573,ge_clio_renaultsport_20_02_a,+ 3091 +,1864,1321,1029,795,0,0,0,0,0,0,3545,4067,4067,4067,0,0,0,0,5,0,0,0,0,0,0,0,0
3776,ge_taurus_sho_98_a,2771,1543,1000,694,0,0,0,0,0,0,0,2263,3765,3765,3765,0,0,0,2,4,0,0,0,0,0,0,0,0
3823,ge__206cc_20_01_a,3454,1869,1360,1051,860,0,0,0,0,0,0,3333,3789,3789,3789,0,0,0,0,5,0,0,0,0,0,1,6,1
3825,ge_clio_sport_v6_00_a,3909,2105,1483,1103,897,756,0,0,0,0,0,3660,3765,3765,3765,0,0,0,0,6,0,0,0,0,0,0,0,0
4150,ge_megane_20_16v_02_a,3154,1944,1393,1056,865,732,0,0,0,0,0,3286,4375,4375,4375,0,0,0,0,6,0,0,0,0,0,0,0,0
4213,ge_avantime_30_v6_bvm6_02_a,3909,2105,1483,1103,897,756,0,0,0,0,0,3660,3765,3765,3765,0,0,0,0,6,0,0,0,0,0,0,0,0
4251,ge_bluebird_ht_1800sss_79_a,3321,2077,1308,1000,833,0,0,0,0,0,0,3382,4111,4111,4111,0,0,0,0,5,0,0,0,0,0,0,0,0
4259,ge__406_coupe_30_98_a,3077,1783,1194,902,733,0,0,0,0,0,0,3145,4313,4313,4313,0,0,0,0,5,0,0,0,0,0,0,0,0
4286,ge_megane_20_ide_00_a,3727,2048,1393,1097,892,0,0,0,0,0,0,3563,3545,3545,3545,0,0,0,0,5,0,0,0,0,0,0,0,0
4448,ge_clio_sport_v6_2_03_a,3077,1905,1387,1103,897,756,0,0,0,0,0,3000,4188,4188,4188,0,0,0,0,6,0,0,0,0,0,0,0,0
